"GEO_ID","id"
"NAME","Geographic Area Name"
"P012D001","Total"
"P012D002","Total!!Male"
"P012D003","Total!!Male!!Under 5 years"
"P012D004","Total!!Male!!5 to 9 years"
"P012D005","Total!!Male!!10 to 14 years"
"P012D006","Total!!Male!!15 to 17 years"
"P012D007","Total!!Male!!18 and 19 years"
"P012D008","Total!!Male!!20 years"
"P012D009","Total!!Male!!21 years"
"P012D010","Total!!Male!!22 to 24 years"
"P012D011","Total!!Male!!25 to 29 years"
"P012D012","Total!!Male!!30 to 34 years"
"P012D013","Total!!Male!!35 to 39 years"
"P012D014","Total!!Male!!40 to 44 years"
"P012D015","Total!!Male!!45 to 49 years"
"P012D016","Total!!Male!!50 to 54 years"
"P012D017","Total!!Male!!55 to 59 years"
"P012D018","Total!!Male!!60 and 61 years"
"P012D019","Total!!Male!!62 to 64 years"
"P012D020","Total!!Male!!65 and 66 years"
"P012D021","Total!!Male!!67 to 69 years"
"P012D022","Total!!Male!!70 to 74 years"
"P012D023","Total!!Male!!75 to 79 years"
"P012D024","Total!!Male!!80 to 84 years"
"P012D025","Total!!Male!!85 years and over"
"P012D026","Total!!Female"
"P012D027","Total!!Female!!Under 5 years"
"P012D028","Total!!Female!!5 to 9 years"
"P012D029","Total!!Female!!10 to 14 years"
"P012D030","Total!!Female!!15 to 17 years"
"P012D031","Total!!Female!!18 and 19 years"
"P012D032","Total!!Female!!20 years"
"P012D033","Total!!Female!!21 years"
"P012D034","Total!!Female!!22 to 24 years"
"P012D035","Total!!Female!!25 to 29 years"
"P012D036","Total!!Female!!30 to 34 years"
"P012D037","Total!!Female!!35 to 39 years"
"P012D038","Total!!Female!!40 to 44 years"
"P012D039","Total!!Female!!45 to 49 years"
"P012D040","Total!!Female!!50 to 54 years"
"P012D041","Total!!Female!!55 to 59 years"
"P012D042","Total!!Female!!60 and 61 years"
"P012D043","Total!!Female!!62 to 64 years"
"P012D044","Total!!Female!!65 and 66 years"
"P012D045","Total!!Female!!67 to 69 years"
"P012D046","Total!!Female!!70 to 74 years"
"P012D047","Total!!Female!!75 to 79 years"
"P012D048","Total!!Female!!80 to 84 years"
"P012D049","Total!!Female!!85 years and over"
